"Metabolite","Diabetes","Mean","SD","N","SE"
"Sphingomyelin_d18_1_24_1","Non-diabetic",0.404614779,0.993787311233586,58,0.130490666859337
"Sphingomyelin_d18_1_24_1","Diabetic",-0.321829537163265,0.872004198964872,98,0.0880857260444578
"Sphingomyelin_d18_2_14_0","Non-diabetic",0.382774698948276,1.06392655230746,58,0.139700400408236
"Sphingomyelin_d18_2_14_0","Diabetic",-0.146885180897959,1.00183766720382,98,0.101200886875419
"Sphingomyelin_d18_2_16_0","Non-diabetic",0.136656849758621,0.915945476598248,58,0.120269533226114
"Sphingomyelin_d18_2_16_0","Diabetic",-0.17758174327551,1.07453923926493,98,0.108544854676467
"Sphingomyelin_d18_2_23_0","Non-diabetic",0.383531041034483,1.00866333353881,58,0.132443984283378
"Sphingomyelin_d18_2_23_0","Diabetic",-0.192910642040816,1.06233841102836,98,0.107312384907585
"Sphingomyelin_d18_2_24_1","Non-diabetic",0.372540384551724,0.878721027888127,58,0.115381723650819
"Sphingomyelin_d18_2_24_1","Diabetic",-0.148817838163265,1.05260843128309,98,0.106329508527773
"Sphingosine","Non-diabetic",-0.165354395086207,1.06360860740451,58,0.139658652197183
"Sphingosine","Diabetic",0.237518472816327,0.928594864775004,98,0.0938022465510586
"Stearate","Non-diabetic",-0.0980182845,0.961408753984445,58,0.126239154005808
"Stearate","Diabetic",0.197298489704082,1.07944742392665,98,0.109040656198983
"Stearoyl_GPC","Non-diabetic",0.282236326793103,0.746652572178212,58,0.0980402858382575
"Stearoyl_GPC","Diabetic",-0.2286769195,0.926703053025045,98,0.0936111447057552
"Stearoyl_GPI","Non-diabetic",0.409412279896552,0.985734937057885,58,0.129433338330274
"Stearoyl_GPI","Diabetic",-0.253196773132653,0.878663923809033,98,0.0887584598441924
"Succinate","Non-diabetic",-0.207866793706897,0.913998747500454,58,0.120013915172539
"Succinate","Diabetic",-0.0161445483571428,1.03532739735499,98,0.104583860488276
"Taurine","Non-diabetic",0.190013765224138,0.884212234930785,58,0.116102754459684
"Taurine","Diabetic",-0.0482166374591837,0.879441584453121,98,0.0888370154320348
"Taurocholate","Non-diabetic",-0.0961273422068966,1.03104203632483,58,0.135382451918238
"Taurocholate","Diabetic",0.00517296501020409,1.0441650777052,98,0.105476601017647
"Theobromine","Non-diabetic",0.1254617275,0.973110628968547,58,0.127775685467741
"Theobromine","Diabetic",-0.0258988925306122,1.06192666124073,98,0.107270791898015
"Thiamine","Non-diabetic",0.13788083137931,0.936549355815683,58,0.122974955109228
"Thiamine","Diabetic",-0.0144758747653061,0.919368036088285,98,0.092870196103455
